customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,month
VB65967,California,27430.14468,No,Extended,Bachelor,2011-01-18,Employed,M,49331,Urban,Married,138,3.0,58,0.0,2,Personal Auto,Personal L2,Offer1,Branch,386.258495,SUV,Medsize,January
XT41916,California,5143.865361,No,Basic,High School or Below,2011-02-11,Unemployed,F,0,Suburban,Single,72,9.0,84,0.0,3,Personal Auto,Personal L3,Offer1,Agent,375.204446,Four-Door Car,Medsize,February
EV66951,Nevada,14032.59376,No,Basic,Master,2011-02-18,Unemployed,M,0,Suburban,Married,191,14.0,94,1.0,8,Corporate Auto,Corporate L3,Offer2,Web,916.8,Luxury Car,Medsize,February
OT24208,California,12390.47778,No,Basic,Bachelor,2011-01-05,Medical Leave,M,14382,Suburban,Married,66,8.0,48,0.0,2,Personal Auto,Personal L3,Offer3,Agent,316.8,Four-Door Car,Medsize,January
GI25850,Arizona,17085.41462,No,Basic,High School or Below,2011-01-31,Employed,F,20053,Rural,Married,62,2.0,24,1.0,2,Personal Auto,Personal L3,Offer3,Call Center,9.832575,Four-Door Car,Medsize,January
UF49068,California,7754.666388,No,Basic,College,2011-02-22,Unemployed,M,0,Suburban,Single,117,2.0,36,0.0,3,Corporate Auto,Corporate L3,Offer3,Agent,918.655051,SUV,Medsize,February
GN80437,Oregon,3444.967503,No,Extended,College,2011-02-28,Unemployed,F,0,Suburban,Married,91,28.0,59,0.0,1,Special Auto,Special L2,Offer2,Branch,596.050118,Four-Door Car,Medsize,February
JB60515,Washington,2513.971107,No,Basic,High School or Below,2011-01-29,Employed,M,50450,Suburban,Married,63,24.0,80,0.0,1,Personal Auto,Personal L3,Offer1,Branch,302.4,Four-Door Car,Medsize,January
PZ94965,California,5733.213979,No,Basic,High School or Below,2011-02-04,Employed,F,79955,Rural,Married,71,10.0,5,0.0,6,Personal Auto,Personal L3,Offer1,Agent,142.932303,Four-Door Car,Large,February
DZ64604,California,12269.41862,No,Premium,High School or Below,2011-02-12,Employed,M,60774,Suburban,Married,154,13.0,7,0.0,5,Personal Auto,Personal L3,Offer2,Branch,739.2,SUV,Small,February
IZ55070,Nevada,5339.488286,No,Basic,High School or Below,2011-01-07,Employed,F,67796,Suburban,Married,69,7.0,24,4.0,8,Personal Auto,Personal L2,Offer2,Web,331.2,Four-Door Car,Medsize,January
XE86547,Oregon,5143.647642,No,Basic,College,2011-01-10,Employed,M,58443,Suburban,Married,65,24.0,71,0.0,6,Personal Auto,Personal L3,Offer3,Agent,312.0,Four-Door Car,Small,January
CD71877,Nevada,22620.74841,No,Premium,Bachelor,2011-01-28,Employed,F,49564,Rural,Single,193,,82,,2,Corporate Auto,Corporate L3,Offer1,Agent,286.370988,Sports Car,Medsize,January
GU42671,Arizona,6106.941981,No,Extended,Bachelor,2011-02-21,Medical Leave,F,16654,Suburban,Married,79,23.0,31,0.0,7,Personal Auto,Personal L3,Offer1,Branch,379.2,,,February
RU72450,California,6980.325287,No,Basic,Bachelor,2011-01-25,Unemployed,M,0,Suburban,Single,67,20.0,14,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,321.6,Four-Door Car,Medsize,January
KA77514,Washington,2734.149158,No,Basic,High School or Below,2011-02-02,Employed,M,34865,Urban,Married,69,15.0,16,0.0,1,Corporate Auto,Corporate L1,Offer3,Call Center,255.946801,Four-Door Car,Medsize,February
IO57824,Arizona,2953.797658,No,Extended,Bachelor,2011-02-02,Unemployed,M,0,Urban,Married,87,25.0,6,2.0,1,Personal Auto,Personal L2,Offer2,Web,414.190987,Four-Door Car,Medsize,February
CI27304,California,9320.090224,No,Extended,College,2011-01-13,Employed,M,40269,Urban,Married,81,0.0,71,2.0,2,Personal Auto,Personal L2,Offer2,Agent,329.980754,Four-Door Car,Medsize,January
AZ87715,California,26864.20332,No,Basic,High School or Below,2011-02-15,Employed,F,81713,Urban,Divorced,74,0.0,41,0.0,2,Personal Auto,Personal L1,Offer3,Branch,332.224293,Four-Door Car,Medsize,February
QA78691,Nevada,16388.09542,No,Basic,Bachelor,2011-01-13,Unemployed,F,0,Suburban,Single,68,5.0,4,1.0,2,Personal Auto,Personal L2,Offer2,Call Center,483.578159,Four-Door Car,Large,January
WS36101,Oregon,2348.028868,No,Basic,High School or Below,2011-01-19,Unemployed,M,0,Suburban,Married,63,21.0,61,0.0,1,Personal Auto,Personal L3,Offer2,Agent,453.6,Four-Door Car,Medsize,January
NC76877,California,4905.127076,No,Basic,Bachelor,2011-02-03,Employed,F,88043,Urban,Married,61,2.0,43,0.0,3,Corporate Auto,Corporate L2,Offer2,Web,188.717606,Four-Door Car,Small,February
EQ68292,Arizona,5334.784887,No,Basic,Bachelor,2011-02-19,Employed,M,74606,Rural,Divorced,68,2.0,34,0.0,5,Corporate Auto,Corporate L3,Offer4,Agent,109.112713,Two-Door Car,Small,February
TC88451,Nevada,5738.277584,No,Basic,High School or Below,2011-01-15,Employed,F,88055,Urban,Married,71,11.0,37,0.0,6,Personal Auto,Personal L1,Offer4,Call Center,337.727542,Four-Door Car,Medsize,January
HI71466,California,3847.352801,No,Extended,College,2011-02-25,Employed,M,23459,Rural,Married,96,,19,,1,Personal Auto,Personal L3,Offer2,Branch,185.070399,Four-Door Car,Medsize,February
RZ13254,Nevada,7562.824036,No,Basic,Bachelor,2011-01-15,Unemployed,F,0,Suburban,Single,73,23.0,91,0.0,2,Personal Auto,Personal L1,Offer2,Branch,350.4,Four-Door Car,Large,January
TP20456,Arizona,9090.269181,No,Extended,High School or Below,2011-01-01,Employed,M,45310,Suburban,Married,229,28.0,70,0.0,1,Personal Auto,Personal L2,Offer3,Agent,1550.375183,Luxury SUV,Medsize,January
BV91898,Arizona,30141.61738,No,Basic,Bachelor,2011-02-03,Unemployed,F,0,Suburban,Single,103,,72,,2,Personal Auto,Personal L1,Offer3,Web,1060.310769,SUV,Medsize,February
UQ82778,Oregon,4540.9925,No,Basic,High School or Below,2011-02-14,Unemployed,F,0,Suburban,Divorced,61,14.0,4,0.0,3,Personal Auto,Personal L1,Offer2,Agent,486.121464,Two-Door Car,Medsize,February
OT66924,Oregon,4681.52815,No,Basic,Bachelor,2011-01-26,Disabled,F,14606,Suburban,Married,72,2.0,94,5.0,4,Personal Auto,Personal L2,Offer3,Call Center,439.772868,Four-Door Car,Medsize,January
CN22369,California,2538.62632,Yes,Basic,Bachelor,2011-02-17,Retired,M,18608,Suburban,Divorced,71,,24,,1,Special Auto,Special L3,Offer2,Web,340.8,Four-Door Car,Medsize,February
QZ24527,California,33473.34946,Yes,Basic,Bachelor,2011-01-11,Employed,F,33190,Suburban,Divorced,106,18.0,95,0.0,2,Personal Auto,Personal L2,Offer1,Web,508.8,SUV,Medsize,January
TN39471,Arizona,3398.007367,No,Extended,High School or Below,2011-02-08,Unemployed,F,0,Suburban,Married,92,7.0,75,0.0,1,Personal Auto,Personal L2,Offer4,Agent,611.844584,Two-Door Car,Medsize,February
WA24038,Oregon,4595.457544,No,Basic,Bachelor,2011-02-19,Employed,M,76357,Rural,Married,117,18.0,96,1.0,1,Personal Auto,Personal L3,Offer1,Call Center,4.074222,SUV,Medsize,February
KY48450,Oregon,7334.517166,No,Basic,College,2011-01-09,Employed,F,83926,Rural,Married,181,31.0,88,0.0,1,Personal Auto,Personal L1,Offer3,Agent,124.447153,Luxury Car,Medsize,January
RJ99408,California,5377.014781,No,Basic,High School or Below,2011-02-23,Employed,M,35637,Suburban,Married,68,13.0,11,0.0,9,Personal Auto,Personal L1,Offer3,Branch,326.4,Four-Door Car,Medsize,February
KW95891,Oregon,2635.148447,No,Basic,High School or Below,2011-01-28,Employed,F,93884,Suburban,Married,65,7.0,10,0.0,1,Personal Auto,Personal L3,Offer4,Branch,312.0,Four-Door Car,Small,January
BF54215,California,11373.98852,No,Extended,Master,2011-01-12,Employed,F,87810,Rural,Married,94,15.0,26,3.0,2,Personal Auto,Personal L1,Offer3,Agent,225.641724,Four-Door Car,Medsize,January
ZF84966,Nevada,44856.11397,No,Extended,Doctor,2011-02-22,Employed,F,61675,Urban,Married,123,35.0,54,0.0,2,Corporate Auto,Corporate L1,Offer1,Call Center,482.550044,SUV,Medsize,February
CH38655,Oregon,14203.6226,No,Basic,Bachelor,2011-01-16,Employed,M,90456,Rural,Married,71,26.0,40,0.0,2,Personal Auto,Personal L3,Offer4,Agent,165.057816,Four-Door Car,Medsize,January
KI82366,Arizona,7412.962014,No,Premium,College,2011-01-13,Unemployed,M,0,Suburban,Single,112,32.0,74,0.0,5,Personal Auto,Personal L3,Offer4,Call Center,806.4,Four-Door Car,Medsize,January
JP82211,California,33873.18123,No,Basic,College,2011-02-18,Employed,F,59744,Urban,Married,105,1.0,79,0.0,2,Personal Auto,Personal L2,Offer1,Agent,476.486416,SUV,Small,February
UH76249,Arizona,9087.586819,No,Extended,High School or Below,2011-01-05,Unemployed,M,0,Suburban,Married,80,7.0,77,0.0,2,Corporate Auto,Corporate L2,Offer1,Agent,384.0,Four-Door Car,Medsize,January
LW11571,,2690.069754,,Basic,Bachelor,2011-02-07,Employed,M,87313,Suburban,Divorced,67,4.0,5,0.0,1,Personal Auto,Personal L1,Offer2,Agent,321.6,Four-Door Car,Small,February
DB79694,Arizona,5979.724161,Yes,Extended,High School or Below,2011-02-07,Employed,F,57693,Suburban,Divorced,76,16.0,56,0.0,3,Corporate Auto,Corporate L3,Offer2,Agent,547.2,Four-Door Car,Medsize,February
XQ19310,California,5006.609577,No,Basic,High School or Below,2011-01-16,Unemployed,F,0,Suburban,Single,71,16.0,4,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,358.985713,,,January
AS60178,Nevada,2796.870102,No,Basic,Bachelor,2011-01-30,Employed,F,54655,Urban,Married,70,34.0,9,1.0,1,Corporate Auto,Corporate L3,Offer1,Agent,186.608147,Four-Door Car,Small,January
EM78211,Oregon,2659.70565,Yes,Extended,College,2011-02-19,Unemployed,F,0,Suburban,Divorced,87,4.0,4,3.0,1,Special Auto,Special L3,Offer2,Agent,420.041981,Four-Door Car,Medsize,February
RR47424,California,21766.83059,No,Premium,High School or Below,2011-01-24,Unemployed,F,0,Suburban,Married,290,11.0,18,0.0,5,Personal Auto,Personal L3,Offer1,Call Center,1550.596808,Luxury Car,Medsize,January
YZ56105,California,6409.627461,No,Extended,High School or Below,2011-01-11,Unemployed,F,0,Suburban,Single,99,14.0,48,2.0,9,Personal Auto,Personal L1,Offer1,Branch,712.8,Two-Door Car,Medsize,January
KH81863,Oregon,4605.036646,Yes,Basic,College,2011-01-28,Medical Leave,F,22571,Suburban,Single,63,,51,,9,Corporate Auto,Corporate L3,Offer2,Web,302.4,Four-Door Car,Large,January
CD27895,California,7637.111954,No,Basic,Bachelor,2011-01-14,Unemployed,F,0,Suburban,Single,71,1.0,29,0.0,2,Personal Auto,Personal L2,Offer1,Call Center,340.8,Four-Door Car,Large,January
OX59701,California,5445.81699,No,Extended,High School or Below,2011-01-20,Employed,M,21006,Suburban,Married,139,14.0,9,1.0,1,Personal Auto,Personal L2,Offer4,Branch,667.2,SUV,Medsize,January
PD30266,California,5015.643575,No,Extended,College,2011-02-10,Employed,F,73809,Urban,Married,125,5.0,57,0.0,1,Special Auto,Special L1,Offer1,Branch,537.315879,SUV,Medsize,February
UQ67668,Nevada,5639.941974,Yes,Basic,High School or Below,2011-01-10,Employed,M,73168,Suburban,Married,70,21.0,50,0.0,3,Personal Auto,Personal L3,Offer2,Agent,425.800112,Four-Door Car,Medsize,January
IE29890,Oregon,8861.482361,No,Basic,High School or Below,2011-01-22,Employed,F,58480,Suburban,Divorced,113,6.0,35,1.0,5,Personal Auto,Personal L3,Offer2,Branch,542.4,SUV,Medsize,January
ZM75468,Nevada,10745.97948,No,Extended,College,2011-01-31,Employed,M,39135,Suburban,Divorced,91,8.0,56,0.0,2,Personal Auto,Personal L1,Offer1,Agent,436.8,Four-Door Car,Small,January
IO63361,Arizona,4880.713626,No,Extended,College,2011-02-16,Employed,M,52819,Rural,Divorced,124,16.0,89,0.0,1,Personal Auto,Personal L1,Offer1,Branch,282.500791,SUV,Medsize,February
QD69852,Oregon,2912.235077,No,Extended,Bachelor,2011-01-23,Unemployed,M,0,Suburban,Single,88,29.0,81,0.0,1,Personal Auto,Personal L1,Offer3,Agent,633.6,Four-Door Car,Medsize,January
DO48071,California,2795.410029,No,Basic,College,2011-01-31,Employed,F,40516,Rural,Married,70,21.0,31,0.0,1,Personal Auto,Personal L3,Offer2,Web,137.168874,Two-Door Car,Small,January
ZK38095,California,2369.439009,No,Basic,Bachelor,2011-02-14,Unemployed,F,0,Suburban,Single,68,35.0,35,0.0,1,Personal Auto,Personal L2,Offer1,Call Center,487.345606,Four-Door Car,Small,February
PL44132,Arizona,3061.799398,No,Extended,College,2011-01-18,Employed,M,88362,Suburban,Single,78,9.0,63,0.0,1,Personal Auto,Personal L1,Offer2,Call Center,452.599718,Two-Door Car,Medsize,January
MR52087,California,7694.064293,No,Basic,Bachelor,2011-01-04,Employed,F,32303,Rural,Married,65,13.0,34,0.0,2,Personal Auto,Personal L1,Offer3,Branch,45.152521,Four-Door Car,Medsize,January
PX72779,Arizona,7942.174213,No,Basic,Master,2011-01-20,Employed,M,41832,Suburban,Married,66,19.0,15,0.0,2,Personal Auto,Personal L3,Offer1,Call Center,402.749918,Four-Door Car,Small,January
PX86841,Arizona,6521.368813,Yes,Extended,College,2011-01-09,Employed,F,72608,Suburban,Married,82,26.0,19,3.0,8,Special Auto,Special L2,Offer2,Agent,393.6,Four-Door Car,Medsize,January
VB87946,California,4970.357298,No,Basic,College,2011-02-06,Employed,M,49714,Urban,Married,63,29.0,64,3.0,4,Personal Auto,Personal L3,Offer3,Branch,266.165535,Four-Door Car,Medsize,February
XD81935,Oregon,5107.163002,Yes,Basic,Bachelor,2011-01-26,Employed,F,35625,Urban,Married,65,10.0,56,1.0,3,Personal Auto,Personal L3,Offer2,Agent,288.572108,Four-Door Car,Medsize,January
LW80918,Oregon,8653.562027,No,Basic,Doctor,2011-02-14,Employed,M,69704,Rural,Married,72,25.0,92,0.0,2,Personal Auto,Personal L3,Offer4,Agent,89.921281,Two-Door Car,Medsize,February
OU78470,Arizona,29328.04185,No,Extended,Master,2011-02-27,Employed,F,32006,Rural,Single,94,,7,,2,Corporate Auto,Corporate L3,Offer2,Call Center,56.868289,Four-Door Car,Medsize,February
LZ26801,California,8161.576876,No,Basic,High School or Below,2011-02-07,Employed,F,73466,Rural,Married,102,2.0,71,1.0,6,Personal Auto,Personal L1,Offer3,Call Center,204.74051,SUV,Medsize,February
ZW93288,California,19160.98994,Yes,Extended,Master,2011-02-20,Employed,F,22705,Suburban,Divorced,239,19.0,59,0.0,7,Personal Auto,Personal L1,Offer2,Agent,1294.700423,Luxury SUV,Medsize,February
YV55495,,5744.229745,,Basic,High School or Below,2011-01-15,Employed,F,68987,Urban,Married,71,11.0,40,0.0,6,Personal Auto,Personal L1,Offer1,Branch,204.475147,Four-Door Car,Medsize,January
VC34797,California,2435.535995,No,Basic,Bachelor,2011-01-27,Employed,F,40921,Rural,Married,62,0.0,50,2.0,1,Corporate Auto,Corporate L2,Offer3,Agent,10.560419,,,January
HR92775,California,3226.516193,No,Extended,College,2011-01-10,Employed,F,91774,Urban,Single,81,4.0,21,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,285.020982,,,January
IC47914,California,3548.397966,No,Premium,College,2011-02-11,Unemployed,M,0,Suburban,Single,103,17.0,18,0.0,1,Corporate Auto,Corporate L2,Offer2,Web,741.6,Four-Door Car,Small,February
KZ11847,California,5096.673223,Yes,Basic,Master,2011-01-28,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Personal Auto,Personal L3,Offer1,Agent,312.0,Four-Door Car,Small,January
XR52852,Oregon,2004.350666,Yes,Basic,College,2011-02-22,Unemployed,F,0,Suburban,Divorced,66,16.0,35,4.0,1,Special Auto,Special L2,Offer1,Branch,316.8,Four-Door Car,Small,February
RN65450,California,3059.426954,No,Extended,College,2011-01-30,Unemployed,M,0,Suburban,Single,88,26.0,73,0.0,1,Personal Auto,Personal L2,Offer1,Branch,633.6,Four-Door Car,Small,January
DY34638,Oregon,13466.92071,Yes,Basic,High School or Below,2011-02-23,Disabled,F,11432,Suburban,Married,119,11.0,9,0.0,2,Personal Auto,Personal L2,Offer2,Agent,571.2,SUV,Small,February
RF14806,Arizona,3095.803437,No,Extended,College,2011-02-18,Employed,F,33415,Suburban,Divorced,78,15.0,44,0.0,1,Personal Auto,Personal L3,Offer2,Branch,374.4,Four-Door Car,Medsize,February
RB49468,,7511.660568,,Basic,Bachelor,2011-01-20,Unemployed,F,0,Suburban,Single,70,9.0,96,0.0,2,Personal Auto,Personal L3,Offer1,Branch,340.201412,Four-Door Car,Medsize,January
JX27737,California,13452.1928,No,Premium,College,2011-01-25,Employed,M,32356,Urban,Married,117,11.0,35,2.0,2,Personal Auto,Personal L1,Offer1,Agent,428.490681,Two-Door Car,Medsize,January
EB55390,Oregon,2548.509175,No,Basic,Master,2011-02-12,Employed,F,43731,Urban,Married,64,35.0,12,2.0,1,Special Auto,Special L3,Offer3,Web,162.461078,Four-Door Car,Medsize,February
QW40898,Arizona,2722.210707,Yes,Basic,College,2011-02-02,Medical Leave,F,17576,Suburban,Married,71,29.0,70,0.0,1,Personal Auto,Personal L1,Offer2,Call Center,398.502948,Four-Door Car,Medsize,February
YO11701,Oregon,8022.686194,No,Basic,High School or Below,2011-02-07,Employed,M,53231,Suburban,Married,101,23.0,26,0.0,3,Personal Auto,Personal L3,Offer4,Call Center,484.8,SUV,Small,February
PS28082,Arizona,2592.928283,No,Basic,High School or Below,2011-01-28,Employed,M,57563,Suburban,Divorced,66,7.0,61,0.0,1,Personal Auto,Personal L2,Offer1,Branch,316.8,Four-Door Car,Medsize,January
VW70435,Oregon,4929.549699,Yes,Basic,Bachelor,2011-01-26,Employed,M,25632,Suburban,Married,63,27.0,52,0.0,7,Personal Auto,Personal L3,Offer2,Call Center,351.270869,Two-Door Car,Medsize,January
TY30683,Oregon,3527.398513,No,Extended,College,2011-02-06,Disabled,F,26156,Suburban,Single,96,27.0,50,0.0,1,Corporate Auto,Corporate L2,Offer2,Agent,460.8,Four-Door Car,Medsize,February
DK32872,Nevada,5234.331741,No,Extended,High School or Below,2011-01-18,Employed,F,66957,Suburban,Married,131,31.0,4,1.0,1,Personal Auto,Personal L1,Offer2,Web,628.8,SUV,Medsize,January
RN61682,California,2114.738469,No,Basic,Bachelor,2011-02-19,Unemployed,F,0,Suburban,Single,72,30.0,69,5.0,1,Personal Auto,Personal L2,Offer3,Web,518.4,Four-Door Car,Medsize,February
FP99321,Washington,2628.171324,No,Extended,High School or Below,2011-02-09,Unemployed,M,0,Suburban,Single,89,12.0,73,4.0,1,Personal Auto,Personal L3,Offer1,Branch,640.8,Four-Door Car,Small,February
NT19879,Arizona,4766.940473,No,Basic,Bachelor,2011-02-18,Medical Leave,F,29177,Suburban,Married,64,5.0,20,2.0,5,Personal Auto,Personal L3,Offer1,Call Center,307.2,Four-Door Car,Large,February
HK28125,California,24337.38181,No,Extended,High School or Below,2011-01-04,Unemployed,M,0,Suburban,Single,85,5.0,15,1.0,2,Personal Auto,Personal L2,Offer2,Agent,612.0,Four-Door Car,Medsize,January
XC49176,California,3193.817363,No,Extended,Bachelor,2011-02-10,Employed,F,93405,Urban,Married,79,0.0,78,0.0,1,Corporate Auto,Corporate L3,Offer2,Agent,202.514015,Four-Door Car,Medsize,February
KC26486,Arizona,8427.172486,Yes,Extended,Bachelor,2011-02-10,Employed,F,46503,Suburban,Divorced,215,4.0,21,1.0,1,Personal Auto,Personal L2,Offer1,Agent,1032.0,Luxury SUV,Medsize,February
VF35858,California,15284.33065,No,Basic,Bachelor,2011-02-16,Employed,M,48885,Suburban,Married,190,31.0,90,0.0,9,Personal Auto,Personal L3,Offer3,Web,1090.122048,Luxury Car,Medsize,February
AA10041,,7901.744238,,Basic,High School or Below,2011-02-02,Unemployed,M,0,Suburban,Single,113,35.0,83,0.0,5,Personal Auto,Personal L3,Offer1,Call Center,1258.327804,SUV,Medsize,February
II97469,California,7013.436657,No,Extended,High School or Below,2011-01-24,Employed,M,92107,Rural,Divorced,88,7.0,38,0.0,5,Personal Auto,Personal L3,Offer2,Agent,16.37296,Four-Door Car,Medsize,January
AP46166,California,4965.491316,No,Basic,High School or Below,2011-01-06,Unemployed,F,0,Suburban,Single,73,4.0,71,1.0,8,Personal Auto,Personal L3,Offer3,Call Center,525.6,Two-Door Car,Small,January
SV62436,Washington,3041.791561,No,Extended,Bachelor,2011-01-21,Disabled,F,13789,Suburban,Divorced,79,8.0,49,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,379.2,Four-Door Car,Medsize,January
OX59701,,5445.81699,,Extended,High School or Below,2011-01-20,Employed,M,21006,Suburban,Married,139,14.0,9,1.0,1,Personal Auto,Personal L2,Offer4,Branch,667.2,SUV,Medsize,January
UV52613,Arizona,2722.986709,No,Basic,College,2011-02-03,Disabled,M,20867,Suburban,Married,71,0.0,79,0.0,1,Personal Auto,Personal L3,Offer4,Agent,340.8,Four-Door Car,Medsize,February
PL14941,Nevada,9113.694323,No,Premium,High School or Below,2011-01-06,Employed,F,76700,Urban,Married,112,13.0,60,0.0,5,Personal Auto,Personal L2,Offer2,Branch,322.046658,Four-Door Car,Small,January
RQ77476,,20461.1545,,Premium,Bachelor,2011-02-26,Employed,M,87502,Urban,Married,102,20.0,28,0.0,2,Personal Auto,Personal L3,Offer2,Branch,421.111226,Four-Door Car,Medsize,February
YJ69332,,6503.397049,,Extended,High School or Below,2011-02-19,Disabled,F,22081,Suburban,Married,84,,9,,6,Personal Auto,Personal L1,Offer1,Agent,451.670309,Two-Door Car,Small,February
CC91503,Arizona,10169.36981,No,Extended,High School or Below,2011-01-03,Unemployed,F,0,Suburban,Married,135,32.0,61,0.0,8,Personal Auto,Personal L3,Offer1,Agent,648.0,Sports Car,Medsize,January
JA47688,California,3544.541005,No,Extended,Master,2011-02-27,Employed,M,40658,Suburban,Single,90,25.0,20,0.0,1,Personal Auto,Personal L2,Offer3,Branch,502.873215,Two-Door Car,Medsize,February
AM34581,Oregon,6680.146801,No,Extended,Bachelor,2011-01-05,Employed,F,24432,Rural,Married,87,19.0,44,3.0,6,Corporate Auto,Corporate L2,Offer2,Branch,71.10847,Two-Door Car,Medsize,January
ID21652,Washington,2878.766728,No,Basic,Bachelor,2011-01-24,Employed,F,79189,Rural,Married,71,11.0,79,0.0,1,Personal Auto,Personal L2,Offer2,Branch,56.092247,,,January
LD95617,California,4830.908873,No,Basic,Bachelor,2011-01-02,Unemployed,M,0,Suburban,Divorced,72,3.0,64,0.0,3,Corporate Auto,Corporate L1,Offer3,Agent,345.6,Four-Door Car,Large,January
EZ50606,Oregon,23875.47675,No,Basic,High School or Below,2011-02-14,Unemployed,F,0,Suburban,Married,108,8.0,55,0.0,2,Corporate Auto,Corporate L3,Offer4,Web,612.102262,SUV,Medsize,February
YU72540,Arizona,10357.62776,No,Basic,College,2011-02-08,Employed,F,52735,Rural,Married,65,21.0,19,0.0,2,Personal Auto,Personal L3,Offer1,Call Center,123.512596,,,February
OR33365,California,5171.272924,No,Basic,College,2011-01-16,Unemployed,F,0,Suburban,Married,69,13.0,90,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,344.469652,Two-Door Car,Medsize,January
VM69145,California,8722.895091,No,Basic,College,2011-01-17,Employed,F,25680,Urban,Divorced,73,10.0,93,0.0,2,Personal Auto,Personal L3,Offer1,Agent,332.40907,Two-Door Car,Medsize,January
LM84078,Oregon,12176.00621,No,Basic,College,2011-02-21,Unemployed,M,0,Suburban,Single,117,5.0,3,0.0,2,Personal Auto,Personal L2,Offer3,Web,1373.258272,SUV,Medsize,February
YT37186,,17526.17908,,Extended,Bachelor,2011-01-19,Employed,F,52228,Suburban,Married,220,29.0,72,1.0,8,Personal Auto,Personal L3,Offer3,Agent,1056.0,Luxury SUV,Medsize,January
NI17718,,2150.178588,,Basic,High School or Below,2011-02-09,Unemployed,F,0,Suburban,Single,61,28.0,31,0.0,1,Personal Auto,Personal L3,Offer2,Web,292.8,Four-Door Car,Medsize,February
RI85578,Washington,2638.140052,No,Basic,Bachelor,2011-02-22,Employed,F,79699,Suburban,Married,65,24.0,12,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,348.82656,Two-Door Car,Small,February
RN20799,Arizona,4755.194923,No,Basic,High School or Below,2011-01-27,Retired,F,21926,Suburban,Married,63,13.0,0,0.0,7,Personal Auto,Personal L2,Offer2,Agent,302.4,Four-Door Car,Small,January
IC94434,California,8257.666512,Yes,Basic,Bachelor,2011-01-12,Disabled,F,23815,Suburban,Married,73,4.0,47,0.0,2,Corporate Auto,Corporate L1,Offer2,Call Center,424.330166,Four-Door Car,Medsize,January
VE85103,Nevada,2449.128459,No,Basic,College,2011-01-08,Medical Leave,M,20567,Suburban,Married,72,24.0,76,4.0,1,Personal Auto,Personal L2,Offer4,Agent,345.6,Four-Door Car,Large,January
PO27978,Oregon,14727.50526,No,Basic,Doctor,2011-02-19,Employed,F,97785,Urban,Single,73,35.0,36,0.0,2,Personal Auto,Personal L1,Offer1,Call Center,236.614219,Two-Door Car,Medsize,February
QN68814,Oregon,2373.795076,No,Basic,Bachelor,2011-01-14,Unemployed,M,0,Suburban,Married,65,32.0,88,0.0,1,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Two-Door Car,Medsize,January
VP89545,Arizona,4522.883533,No,Basic,College,2011-02-01,Unemployed,M,0,Suburban,Married,61,8.0,78,0.0,9,Personal Auto,Personal L3,Offer1,Web,292.8,Four-Door Car,Medsize,February
UY57856,Oregon,2987.949471,No,Extended,College,2011-02-27,Unemployed,F,0,Suburban,Single,83,14.0,22,0.0,1,Corporate Auto,Corporate L2,Offer3,Branch,708.693556,Four-Door Car,Medsize,February
PK47936,Washington,8750.710415,No,Premium,High School or Below,2011-01-05,Employed,F,25806,Suburban,Married,110,20.0,43,0.0,5,Personal Auto,Personal L3,Offer4,Call Center,528.0,Four-Door Car,Medsize,January
UH59257,Washington,7540.911474,No,Extended,Doctor,2011-02-14,Employed,M,61726,Suburban,Married,96,33.0,30,2.0,4,Personal Auto,Personal L3,Offer2,Agent,689.507724,Two-Door Car,Medsize,February
WF91295,,4254.620669,,Basic,High School or Below,2011-02-03,Disabled,F,11904,Suburban,Single,61,34.0,11,2.0,3,Personal Auto,Personal L2,Offer1,Web,292.8,Two-Door Car,Small,February
KU94282,Oregon,10016.28847,No,Basic,Master,2011-01-16,Employed,F,62900,Rural,Married,62,3.0,12,0.0,2,Personal Auto,Personal L2,Offer2,Agent,83.897335,Two-Door Car,Medsize,January
AD33971,California,12564.06775,No,Basic,Doctor,2011-01-14,Unemployed,M,0,Suburban,Married,68,15.0,52,0.0,2,Personal Auto,Personal L3,Offer2,Web,326.4,Four-Door Car,Medsize,January
ZY49833,California,5963.174005,No,Basic,Bachelor,2011-01-06,Employed,F,87020,Urban,Married,74,6.0,84,0.0,8,Personal Auto,Personal L2,Offer2,Web,331.116399,Four-Door Car,Small,January
DU60004,Nevada,3560.628183,No,Extended,College,2011-01-26,Employed,F,76769,Rural,Married,88,,91,,1,Corporate Auto,Corporate L2,Offer2,Web,170.106831,Four-Door Car,Medsize,January
QH90382,Oregon,4187.77657,No,Premium,Master,2011-01-19,Employed,F,52471,Rural,Married,103,35.0,57,0.0,1,Personal Auto,Personal L2,Offer2,Branch,163.955502,Two-Door Car,Small,January
